bv,lieu,ins,vot,exp,bl,nu,R!,LFI,RN,EELV,ENS,LR,PS,PCF,AUTRES
1,Salle Du Conseil Municipal,903,397,389,4,4,22,132,62,24,23,7,58,33,0
2,Mediatheque Elsa Triolet,1100,624,615,1,8,20,127,70,73,83,33,115,40,0
3,Ecole Jean Vilar,980,483,478,2,3,13,153,63,36,38,11,83,53,0
4,Ecole Jean Vilar,937,562,552,1,9,25,108,53,55,83,34,132,18,0
5,Ecole Maternelle G. Sand,858,432,428,1,3,14,109,49,35,44,19,100,16,0
6,Groupe Scolaire George Sand,915,484,472,6,6,15,123,67,49,52,7,99,18,0
7,Ecole Henri Wallon,761,332,328,2,2,13,120,36,24,37,14,50,20,0
8,Ecole Joliot Curie,1222,426,423,1,2,10,140,62,36,48,16,45,23,0
9,Ecole Joliot Curie,717,365,364,1,0,18,79,61,23,39,12,69,16,0
10,Ecole Maternelle Hautes Bruyeres,938,385,372,9,4,11,150,59,21,18,4,23,53,0
11,Ecole Marcel Cachin,515,198,197,1,0,10,68,35,11,13,8,19,11,0
12,Mpt Gerard Philipe,952,357,350,2,5,17,120,74,17,38,15,37,10,0
13,Ecole Paul Langevin,1035,434,425,5,4,20,155,73,19,45,17,42,18,0
14,Halle Des Sports Colette Besson,929,434,424,2,8,20,149,46,27,44,15,75,18,0
15,Ecole Robert Lebon,973,308,299,4,5,4,143,46,7,22,8,10,35,0
16,Groupe Scolaire George Sand,988,555,552,2,1,18,138,53,60,61,29,131,35,0
17,Mairie,912,471,463,4,4,14,128,40,48,58,33,89,22,0
18,Ecole Maternelle Joliot Curie,881,373,359,8,6,15,81,83,30,32,12,54,29,0
19,Ecole Marcel Cachin,710,321,317,1,3,14,124,41,17,32,10,24,33,0
20,Groupe Scolaire Simone Veil,1273,647,639,4,4,25,199,68,47,103,36,94,19,0
21,Ecole Elementaire Pasteur,1200,622,609,3,10,15,184,80,55,71,18,124,19,0
22,Ecole Elementaire Pasteur,1016,466,456,6,4,17,126,69,34,57,22,65,21,0
23,Ecole Maternelle Rue Pasteur,856,390,383,3,4,17,115,46,20,39,21,76,18,0
24,Ecole Henri Wallon,1078,635,626,3,6,25,154,88,65,79,35,106,18,0
25,Ecole Henri Wallon,1064,534,524,7,3,29,146,52,69,76,17,84,18,0
26,Ecole Robespierre,822,461,450,4,7,30,81,91,31,62,31,73,8,0
27,Groupe Scolaire P Vaillant Couturier,811,351,347,0,4,10,113,57,29,36,9,41,16,0
28,Groupe Scolaire P Vaillant Couturier,781,285,282,0,3,10,106,56,9,23,5,19,24,0
29,Groupe Scolaire P Vaillant Couturier,860,405,401,1,3,10,101,62,43,50,18,75,11,0
30,Ecole Paul Langevin,1004,337,320,10,7,7,166,55,8,14,2,22,13,0
31,Ecole Marcel Cachin,1260,612,606,4,2,22,165,73,65,92,21,101,17,0
32,Halle Des Sports Colette Besson,1022,466,455,4,7,16,146,60,48,42,12,77,19,0
33,Maison Des Parents,830,340,328,3,9,10,133,59,15,17,9,14,45,0
34,Ecole Robespierre,844,394,386,2,6,17,126,54,27,48,18,58,9,0
