bv,lieu,ins,vot,exp,bl,nu,SUGRANES,TAILLE-P,PICOT,COUSTY,BOUCHOT,SAMSON,RIVET-SO,MARIAUD
1,Salle Du Conseil Municipal,888,553,544,4,5,2,363,58,2,89,5,12,13
2,Mediatheque Elsa Triolet,1079,747,737,7,3,0,423,163,7,95,3,27,19
3,Ecole Jean Vilar,973,642,626,9,7,1,405,104,0,80,4,20,12
4,Ecole Jean Vilar,933,680,672,5,3,2,338,193,5,74,1,33,26
5,Ecole Maternelle G. Sand,850,563,558,3,2,0,333,119,6,61,5,21,13
6,Groupe Scolaire George Sand,907,616,607,7,2,2,357,128,6,78,7,10,19
7,Ecole Henri Wallon,750,447,440,4,3,2,270,88,8,46,2,15,9
8,Ecole Joliot Curie,1213,669,655,9,5,3,426,91,5,86,7,18,19
9,Ecole Joliot Curie,717,462,459,1,2,3,223,92,12,91,3,20,15
10,Ecole Maternelle Hautes Bruyeres,929,546,526,9,11,4,367,40,2,77,5,17,14
11,Ecole Marcel Cachin,504,282,276,3,3,0,150,49,0,55,2,9,11
12,Mpt Gerard Philipe,940,504,494,5,5,4,286,84,3,88,2,15,12
13,Ecole Paul Langevin,1025,581,569,4,8,1,324,90,10,99,6,21,18
14,Halle Des Sports Colette Besson,924,580,571,7,2,0,323,123,5,80,2,23,15
15,Ecole Robert Lebon,948,475,460,9,6,5,316,58,1,64,2,7,7
16,Groupe Scolaire George Sand,981,675,665,6,4,1,403,125,6,81,8,21,20
17,Mairie,890,599,589,6,4,2,345,127,6,67,2,25,15
18,Ecole Maternelle Joliot Curie,868,494,478,9,7,0,258,68,6,116,4,14,12
19,Ecole Marcel Cachin,699,429,421,5,3,3,264,66,3,61,3,12,9
20,Groupe Scolaire Simone Veil,1246,822,810,8,4,0,440,186,12,110,2,39,21
21,Ecole Elementaire Pasteur,1184,816,808,4,4,3,474,163,10,102,3,32,21
22,Ecole Elementaire Pasteur,992,625,609,8,8,4,345,117,9,93,3,18,20
23,Ecole Maternelle Rue Pasteur,862,528,520,4,4,2,302,105,6,78,4,11,12
24,Ecole Henri Wallon,1071,768,759,5,4,2,408,164,10,112,3,36,24
25,Ecole Henri Wallon,1058,707,697,9,1,2,427,127,4,98,7,17,15
26,Ecole Robespierre,801,553,544,4,5,1,229,151,10,116,4,18,15
27,Groupe Scolaire P Vaillant Couturier,803,475,465,9,1,1,251,86,2,91,7,9,18
28,Groupe Scolaire P Vaillant Couturier,766,409,400,5,4,2,229,46,3,95,10,4,11
29,Groupe Scolaire P Vaillant Couturier,851,523,516,5,2,3,277,118,7,72,5,12,22
30,Ecole Paul Langevin,996,524,510,11,3,2,350,49,5,77,8,12,7
31,Ecole Marcel Cachin,1253,846,823,13,10,4,456,179,9,118,8,25,24
32,Halle Des Sports Colette Besson,997,642,633,7,2,2,386,100,3,106,7,23,6
33,Maison Des Parents,829,481,472,3,6,1,299,60,9,77,7,7,12
34,Ecole Robespierre,834,496,494,0,2,2,261,108,8,77,3,21,14
