bv,lieu,ins,vot,exp,bl,nu,LCOM,LFI,LPS,LDVG,LDVG2,LEXG,LMDM,LDIV,LR
1,Conseil Municipal,931,462,456,3,3,142,68,33,8,18,8,71,16,92
2,Médiathèque Triolet,1137,685,679,5,1,152,77,79,3,26,1,185,19,137
3,Jean Vilar,977,507,499,6,2,115,71,50,5,44,7,103,20,84
4,Jean Vilar,962,620,601,9,10,148,35,92,4,15,4,180,11,112
5,G. Sand,948,491,484,4,3,117,62,49,2,22,5,116,3,108
6,George Sand,928,472,463,6,3,99,44,62,4,25,8,101,11,109
7,Henri Wallon,788,335,330,4,1,96,45,20,1,13,2,47,40,66
8,Joliot Curie,1230,506,494,6,6,143,47,34,10,28,3,94,62,73
9,Joliot Curie,718,371,362,5,4,75,33,37,11,19,7,71,9,100
10,H. Bruyères,971,471,455,9,7,168,63,17,13,28,6,55,58,47
11,Marcel Cachin,514,205,203,1,1,33,25,20,5,21,2,37,13,47
12,MPT G. Philipe,969,371,368,0,3,82,57,19,8,13,2,62,25,100
13,Paul Langevin,1051,440,425,7,8,104,36,15,17,10,6,88,69,80
14,Colette Besson,934,418,410,5,3,110,48,30,9,12,2,101,24,74
15,Robert Lebon,925,353,342,6,5,115,32,3,15,13,1,46,51,66
16,George Sand,1004,590,581,8,1,161,66,56,5,31,9,128,17,108
17,Mairie,948,472,465,4,3,121,61,61,3,32,6,91,6,84
18,Joliot Curie,872,375,368,3,4,96,49,21,16,14,5,51,12,104
19,Marcel Cachin,720,327,324,2,1,99,25,22,4,18,8,46,45,57
20,Simone Veil,1320,628,613,9,6,131,107,55,8,17,5,141,23,126
21,Pasteur,1264,635,627,2,6,145,87,90,10,29,7,108,45,106
22,Pasteur,1031,470,458,6,6,115,47,30,10,21,11,90,37,97
23,Pasteur,993,444,437,5,2,90,69,37,6,12,4,101,23,95
24,Henri Wallon,1082,597,589,5,3,135,78,67,6,12,5,138,13,135
25,Henri Wallon,1070,576,567,4,5,137,51,68,6,32,6,99,103,65
26,Robespierre,811,468,460,1,7,71,33,39,3,6,6,127,3,172
27,P. Vaillant C.,840,355,344,5,6,73,44,32,13,19,11,67,23,62
28,P. Vaillant C.,748,281,279,1,1,75,27,5,13,12,11,42,31,63
29,P. Vaillant C.,831,381,371,5,5,80,54,44,1,13,4,80,12,83
30,Paul Langevin,1030,381,363,8,10,111,50,9,14,14,10,27,81,47
31,Marcel Cachin,1344,692,683,6,3,161,119,63,3,25,10,135,24,143
32,Colette Besson,1088,522,514,5,3,112,72,46,5,22,7,122,36,92
33,Maison Parents,850,392,378,7,7,87,50,18,33,28,1,35,48,78
34,Robespierre,860,410,403,6,1,78,50,52,4,15,10,101,10,83
