bv,lieu,ins,vot,exp,bl,nu,UG,MODEM,LR
1,Salle Du Conseil Municipal,934,461,446,9,6,241,96,109
2,Mediatheque Elsa Triolet,1137,673,663,6,4,277,230,156
3,Ecole Jean Vilar,977,504,496,6,2,258,145,93
4,Ecole Jean Vilar,963,611,599,5,7,235,226,138
5,Ecole Maternelle G. Sand,949,496,487,6,3,222,146,119
6,Groupe Scolaire George Sand,928,485,473,6,6,210,147,116
7,Ecole Henri Wallon,788,326,322,1,3,167,69,86
8,Ecole Joliot Curie,1230,489,474,8,7,234,130,110
9,Ecole Joliot Curie,719,375,368,5,2,144,93,131
10,Ecole Maternelle Hautes Bruyeres,971,446,436,3,7,265,99,72
11,Ecole Marcel Cachin,514,202,197,1,4,74,55,68
12,Mpt Gerard Philipe,969,364,360,3,1,155,80,125
13,Ecole Paul Langevin,1051,431,410,9,12,161,114,135
14,Halle Des Sports Colette Besson,934,406,396,5,5,167,129,100
15,Ecole Robert Lebon,925,371,362,5,4,208,84,70
16,Groupe Scolaire George Sand,1004,577,564,10,3,282,164,118
17,Mairie,948,487,482,2,3,235,142,105
18,Ecole Maternelle Joliot Curie,872,388,379,4,5,155,80,144
19,Ecole Marcel Cachin,720,312,302,6,4,170,75,57
20,Groupe Scolaire Simone Veil,1320,625,609,13,3,272,186,151
21,Ecole Elementaire Pasteur,1264,641,626,10,5,332,160,134
22,Ecole Elementaire Pasteur,1031,472,462,4,6,211,130,121
23,Ecole Maternelle Rue Pasteur,993,449,439,5,5,196,129,114
24,Ecole Henri Wallon,1082,619,611,5,3,249,170,192
25,Ecole Henri Wallon,1070,527,508,13,6,268,127,113
26,Ecole Robespierre,811,470,462,5,3,127,154,181
27,Groupe Scolaire P Vaillant Couturier,841,330,324,3,3,121,103,100
28,Groupe Scolaire P Vaillant Couturier,748,268,262,3,3,117,67,78
29,Groupe Scolaire P Vaillant Couturier,831,388,380,5,3,159,106,115
30,Ecole Paul Langevin,1030,379,364,6,9,200,89,75
31,Ecole Marcel Cachin,1344,703,692,9,2,319,185,188
32,Halle Des Sports Colette Besson,1089,524,514,8,2,231,151,132
33,Maison Des Parents,850,382,366,11,5,173,79,114
34,Ecole Robespierre,860,404,394,6,4,173,129,92
