bv,lieu,ins,vot,exp,bl,nu,DLF,FN,LREM,PS,LO,NPA,S&P,RES,LFI,UPR,LR
1,- Salle Conseil Municipal,873,641,634,4,3,8,68,128,62,2,9,3,4,262,7,81
2,- Médiathèque,980,798,781,12,5,31,85,211,78,3,11,2,7,245,5,103
3,- Ecole Vilar,935,715,705,8,2,11,61,179,69,3,13,0,4,302,2,61
4,- Ecole Vilar,868,696,684,4,8,22,58,221,74,0,5,1,5,160,9,129
5,- Mater. Sand,676,490,481,7,2,20,45,138,50,0,10,0,2,140,3,73
6,- Ecole Sand,828,641,626,13,2,19,71,179,64,4,8,0,1,189,6,85
7,- Ecole Wallon,702,521,510,8,3,17,38,144,50,1,5,0,4,188,5,58
8,- Ecole Joliot-Curie,1057,732,717,12,3,19,60,177,63,3,12,1,1,278,19,84
9,- Mater. Joliot-Curie,710,521,507,10,4,19,70,137,48,2,6,0,9,132,9,75
10,- Mater. Hautes-Bruyères,869,645,635,7,3,18,77,99,40,4,8,1,5,320,6,57
11,- Mater. Cachin,530,350,344,4,2,15,37,79,36,2,2,0,2,117,10,44
12,- Mpt Philipe,916,609,591,15,3,14,97,140,40,3,4,2,1,202,9,79
13,- Mater. Langevin,997,683,669,11,3,32,101,204,41,2,6,0,4,193,16,70
14,- Mater. Marx,918,647,638,5,4,20,53,214,58,1,2,0,4,180,10,96
15,- Ecole Lebon,936,608,585,12,11,17,81,110,42,3,12,0,2,276,6,36
16,- Mater. Sand,960,760,752,6,2,18,65,217,74,2,11,2,3,255,5,100
17,- Salle Conseil Municipal,767,554,543,8,3,18,35,159,62,1,3,0,4,175,2,84
18,- Mater. Joliot-Curie,830,624,608,10,6,26,92,142,41,5,7,2,11,196,14,72
19,- Ecole Cachin,693,504,498,2,4,17,49,100,45,3,5,0,4,210,7,58
20,- Annexe Mairie Croizat,928,725,715,6,4,19,65,218,58,0,6,2,2,200,9,136
21,- Ecole Pasteur,964,726,708,12,6,23,90,200,63,4,5,4,4,249,4,62
22,- Ecole Pasteur,978,738,726,11,1,22,99,198,62,5,7,1,4,212,11,105
23,- Mater. Pasteur,728,521,512,4,5,15,48,147,46,2,2,2,4,156,7,83
24,- Ecole Wallon,1025,835,822,9,4,32,85,231,72,4,12,0,11,226,9,140
25,- Mater. Wallon,1009,770,756,10,4,19,57,220,72,4,9,3,2,263,7,100
26,- Mater. Robespierre,793,624,610,3,11,22,100,163,41,5,1,1,3,140,10,124
27,- Mater. Vaillant-Couturier,820,559,544,9,6,15,78,135,44,6,5,1,7,159,7,87
28,- Ecole Vaillant-Couturier,772,519,510,4,5,13,96,86,36,3,9,0,2,222,8,35
29,- Ecole Vaillant-Couturier,889,642,628,11,3,15,68,202,79,3,12,1,3,152,9,84
30,- Mater. Langevin,952,627,608,5,14,20,73,131,54,3,7,1,1,275,5,38
31,- Mater. Cachin,858,658,639,13,6,21,66,165,52,8,15,1,2,201,11,97
32,- Mater. Marx,908,656,641,11,4,26,85,168,61,3,10,1,5,195,5,82
33,- Maison Des Parents,880,613,591,15,7,11,97,91,45,8,9,2,2,265,12,49
34,- Ecole Robespierre,689,493,475,13,5,15,48,134,46,2,5,0,4,141,11,69
