bv,lieu,ins,vot,exp,bl,nu,LO,PCF,ENS,RES,RN,REC,LFI,PS,EELV,LR,NPA,DLF
1,Salle Du Conseil Municipal,872,640,627,10,3,0,47,102,6,63,39,300,11,32,17,6,4
2,Mediatheque Elsa Triolet,1055,827,809,13,5,5,44,209,7,71,43,322,7,64,26,3,8
3,Ecole Jean Vilar,959,706,698,8,0,3,53,143,5,67,25,311,20,47,15,4,5
4,Ecole Jean Vilar,906,729,716,7,6,3,38,224,8,60,32,220,19,61,37,10,4
5,Ecole Maternelle G. Sand,843,650,644,4,2,4,15,177,4,44,40,263,11,50,18,5,13
6,Groupe Scolaire George Sand,892,666,653,7,6,2,19,161,10,58,34,284,13,49,14,6,3
7,Ecole Henri Wallon,738,531,525,2,4,4,15,137,4,43,23,248,3,24,17,3,4
8,Ecole Joliot Curie,1162,787,764,14,9,6,16,148,7,79,31,386,12,45,22,5,7
9,Ecole Joliot Curie,688,499,490,6,3,7,18,126,11,58,38,158,10,26,21,7,10
10,Ecole Maternelle Hautes Bruyeres,903,637,619,10,8,3,67,83,4,55,21,343,3,16,12,6,6
11,Ecole Marcel Cachin,500,346,343,3,0,1,12,75,9,43,22,149,2,14,11,1,4
12,Mpt Gerard Philipe,938,607,595,7,5,4,17,113,9,71,35,284,3,17,31,8,3
13,Ecole Paul Langevin,1008,675,663,4,8,4,31,141,9,90,38,286,3,18,28,6,9
14,Halle Des Sports Colette Besson,902,630,622,5,3,3,20,174,8,54,37,256,3,28,33,3,3
15,Ecole Robert Lebon,962,580,571,4,5,3,54,81,7,70,28,305,1,4,8,5,5
16,Groupe Scolaire George Sand,968,730,724,2,4,5,41,188,8,47,28,290,17,61,26,3,10
17,Mairie,844,625,617,6,2,0,24,194,7,47,24,235,12,38,21,3,12
18,Ecole Maternelle Joliot Curie,837,580,568,8,4,3,28,121,14,83,42,210,6,25,18,5,13
19,Ecole Marcel Cachin,686,492,486,6,0,2,30,92,5,43,26,246,7,13,13,5,4
20,Groupe Scolaire Simone Veil,1193,906,893,11,2,1,14,251,9,75,55,371,13,46,45,4,9
21,Ecole Elementaire Pasteur,1115,855,842,11,2,4,22,228,8,78,39,363,17,51,16,1,15
22,Ecole Elementaire Pasteur,971,689,679,7,3,4,20,173,12,67,37,268,18,37,23,5,15
23,Ecole Maternelle Rue Pasteur,784,566,555,6,5,1,14,141,7,52,43,219,11,20,36,8,3
24,Ecole Henri Wallon,1049,825,813,8,4,2,19,230,8,72,61,301,9,44,48,9,10
25,Ecole Henri Wallon,1034,747,731,12,4,2,29,172,5,64,29,315,12,65,21,5,12
26,Ecole Robespierre,777,585,571,11,3,4,8,187,9,80,44,148,10,29,39,3,10
27,Groupe Scolaire P Vaillant Couturier,799,553,546,3,4,5,20,134,8,58,41,225,6,28,15,3,3
28,Groupe Scolaire P Vaillant Couturier,768,499,494,3,2,4,39,80,6,73,21,236,2,13,6,3,11
29,Groupe Scolaire P Vaillant Couturier,836,588,581,5,2,2,16,158,14,52,32,240,4,39,14,6,4
30,Ecole Paul Langevin,962,611,598,4,9,6,28,75,4,77,22,355,9,5,5,4,8
31,Ecole Marcel Cachin,1150,881,867,8,6,3,26,222,11,86,43,350,16,54,33,11,12
32,Halle Des Sports Colette Besson,986,711,689,14,8,3,8,146,13,85,39,312,3,44,21,6,9
33,Maison Des Parents,820,538,523,11,4,3,52,69,5,77,20,271,7,8,5,4,2
34,Ecole Robespierre,831,599,590,5,4,5,12,174,9,62,33,225,8,38,15,3,6
