bv,lieu,ins,vot,exp,bl,nu,ENS,RN
1,Salle Du Conseil Municipal,872,552,489,44,19,355,134
2,Mediatheque Elsa Triolet,1056,750,677,61,12,542,135
3,Ecole Jean Vilar,959,612,556,43,13,443,113
4,Ecole Jean Vilar,906,677,625,44,8,519,106
5,Ecole Maternelle G. Sand,844,597,546,40,11,455,91
6,Groupe Scolaire George Sand,892,609,555,46,8,444,111
7,Ecole Henri Wallon,741,473,430,36,7,341,89
8,Ecole Joliot Curie,1163,667,599,48,20,445,154
9,Ecole Joliot Curie,688,467,427,31,9,321,106
10,Ecole Maternelle Hautes Bruyeres,904,521,447,48,26,314,133
11,Ecole Marcel Cachin,501,304,268,29,7,185,83
12,Mpt Gerard Philipe,938,553,504,39,10,362,142
13,Ecole Paul Langevin,1009,609,552,41,16,389,163
14,Halle Des Sports Colette Besson,902,588,544,30,14,415,129
15,Ecole Robert Lebon,962,487,436,32,19,310,126
16,Groupe Scolaire George Sand,968,668,615,40,13,506,109
17,Mairie,844,582,541,29,12,444,97
18,Ecole Maternelle Joliot Curie,837,536,484,37,15,319,165
19,Ecole Marcel Cachin,687,431,391,29,11,292,99
20,Groupe Scolaire Simone Veil,1193,827,779,42,6,628,151
21,Ecole Elementaire Pasteur,1116,773,720,39,14,581,139
22,Ecole Elementaire Pasteur,971,645,595,44,6,447,148
23,Ecole Maternelle Rue Pasteur,784,515,473,34,8,358,115
24,Ecole Henri Wallon,1050,758,703,42,13,555,148
25,Ecole Henri Wallon,1036,680,611,55,14,494,117
26,Ecole Robespierre,777,558,521,28,9,368,153
27,Groupe Scolaire P Vaillant Couturier,800,489,452,29,8,331,121
28,Groupe Scolaire P Vaillant Couturier,769,430,390,31,9,242,148
29,Groupe Scolaire P Vaillant Couturier,836,528,491,26,11,396,95
30,Ecole Paul Langevin,962,517,461,38,18,341,120
31,Ecole Marcel Cachin,1151,797,723,63,11,555,168
32,Halle Des Sports Colette Besson,986,658,590,54,14,452,138
33,Maison Des Parents,820,494,432,45,17,294,138
34,Ecole Robespierre,831,546,504,25,17,396,108
